/* Start up: 7/7/2018 8:34:36 PM */

[7/7/2018 8:34:37 PM] [Program.initializeStartup] » Map ID [46] its already in the dictionary, maybe some duplicate (?)
[7/7/2018 8:34:37 PM] [Program.initializeStartup] » Map ID [22] its already in the dictionary, maybe some duplicate (?)
[7/7/2018 8:34:37 PM] [Program.initializeStartup] » Map ID [80] its already in the dictionary, maybe some duplicate (?)
[7/7/2018 8:34:37 PM] [Program.initializeStartup] » Map ID [89] its already in the dictionary, maybe some duplicate (?)
[7/7/2018 8:34:37 PM] [Program.initializeStartup] » Map ID [27] its already in the dictionary, maybe some duplicate (?)
[7/7/2018 8:34:37 PM] [Program.initializeStartup] » Map ID [44] its already in the dictionary, maybe some duplicate (?)
[7/7/2018 8:34:38 PM] [Program.initializeStartup] » Map ID [71] its already in the dictionary, maybe some duplicate (?)
/* Start up: 7/7/2018 9:02:30 PM */

[7/7/2018 9:02:31 PM] [Program.initializeStartup] » Map ID [46] its already in the dictionary, maybe some duplicate (?)
[7/7/2018 9:02:31 PM] [Program.initializeStartup] » Map ID [22] its already in the dictionary, maybe some duplicate (?)
[7/7/2018 9:02:31 PM] [Program.initializeStartup] » Map ID [80] its already in the dictionary, maybe some duplicate (?)
[7/7/2018 9:02:31 PM] [Program.initializeStartup] » Map ID [89] its already in the dictionary, maybe some duplicate (?)
[7/7/2018 9:02:31 PM] [Program.initializeStartup] » Map ID [27] its already in the dictionary, maybe some duplicate (?)
[7/7/2018 9:02:31 PM] [Program.initializeStartup] » Map ID [44] its already in the dictionary, maybe some duplicate (?)
[7/7/2018 9:02:31 PM] [Program.initializeStartup] » Map ID [71] its already in the dictionary, maybe some duplicate (?)
/* Start up: 7/7/2018 9:09:23 PM */

[7/7/2018 9:09:24 PM] [Program.initializeStartup] » Map ID [46] its already in the dictionary, maybe some duplicate (?)
[7/7/2018 9:09:24 PM] [Program.initializeStartup] » Map ID [22] its already in the dictionary, maybe some duplicate (?)
[7/7/2018 9:09:24 PM] [Program.initializeStartup] » Map ID [80] its already in the dictionary, maybe some duplicate (?)
[7/7/2018 9:09:24 PM] [Program.initializeStartup] » Map ID [89] its already in the dictionary, maybe some duplicate (?)
[7/7/2018 9:09:24 PM] [Program.initializeStartup] » Map ID [27] its already in the dictionary, maybe some duplicate (?)
[7/7/2018 9:09:24 PM] [Program.initializeStartup] » Map ID [44] its already in the dictionary, maybe some duplicate (?)
[7/7/2018 9:09:24 PM] [Program.initializeStartup] » Map ID [71] its already in the dictionary, maybe some duplicate (?)
/* Start up: 7/7/2018 9:11:54 PM */

[7/7/2018 9:11:55 PM] [Program.initializeStartup] » Map ID [46] its already in the dictionary, maybe some duplicate (?)
[7/7/2018 9:11:55 PM] [Program.initializeStartup] » Map ID [22] its already in the dictionary, maybe some duplicate (?)
[7/7/2018 9:11:55 PM] [Program.initializeStartup] » Map ID [80] its already in the dictionary, maybe some duplicate (?)
[7/7/2018 9:11:55 PM] [Program.initializeStartup] » Map ID [89] its already in the dictionary, maybe some duplicate (?)
[7/7/2018 9:11:55 PM] [Program.initializeStartup] » Map ID [27] its already in the dictionary, maybe some duplicate (?)
[7/7/2018 9:11:55 PM] [Program.initializeStartup] » Map ID [44] its already in the dictionary, maybe some duplicate (?)
[7/7/2018 9:11:55 PM] [Program.initializeStartup] » Map ID [71] its already in the dictionary, maybe some duplicate (?)
/* Start up: 7/7/2018 9:16:39 PM */

[7/7/2018 9:16:40 PM] [Program.initializeStartup] » Map ID [46] its already in the dictionary, maybe some duplicate (?)
[7/7/2018 9:16:40 PM] [Program.initializeStartup] » Map ID [22] its already in the dictionary, maybe some duplicate (?)
[7/7/2018 9:16:40 PM] [Program.initializeStartup] » Map ID [80] its already in the dictionary, maybe some duplicate (?)
[7/7/2018 9:16:40 PM] [Program.initializeStartup] » Map ID [89] its already in the dictionary, maybe some duplicate (?)
[7/7/2018 9:16:40 PM] [Program.initializeStartup] » Map ID [27] its already in the dictionary, maybe some duplicate (?)
[7/7/2018 9:16:40 PM] [Program.initializeStartup] » Map ID [44] its already in the dictionary, maybe some duplicate (?)
[7/7/2018 9:16:40 PM] [Program.initializeStartup] » Map ID [71] its already in the dictionary, maybe some duplicate (?)
/* Start up: 7/7/2018 9:19:37 PM */

[7/7/2018 9:19:38 PM] [Program.initializeStartup] » Map ID [46] its already in the dictionary, maybe some duplicate (?)
[7/7/2018 9:19:38 PM] [Program.initializeStartup] » Map ID [22] its already in the dictionary, maybe some duplicate (?)
[7/7/2018 9:19:38 PM] [Program.initializeStartup] » Map ID [80] its already in the dictionary, maybe some duplicate (?)
[7/7/2018 9:19:38 PM] [Program.initializeStartup] » Map ID [89] its already in the dictionary, maybe some duplicate (?)
[7/7/2018 9:19:38 PM] [Program.initializeStartup] » Map ID [27] its already in the dictionary, maybe some duplicate (?)
[7/7/2018 9:19:38 PM] [Program.initializeStartup] » Map ID [44] its already in the dictionary, maybe some duplicate (?)
[7/7/2018 9:19:38 PM] [Program.initializeStartup] » Map ID [71] its already in the dictionary, maybe some duplicate (?)
