/* Start up: 7/22/2018 1:45:10 AM */

[7/22/2018 1:45:13 AM] [Program.initializeStartup] » Map ID [46] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 1:45:13 AM] [Program.initializeStartup] » Map ID [22] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 1:45:13 AM] [Program.initializeStartup] » Map ID [80] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 1:45:13 AM] [Program.initializeStartup] » Map ID [89] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 1:45:13 AM] [Program.initializeStartup] » Map ID [27] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 1:45:13 AM] [Program.initializeStartup] » Map ID [44] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 1:45:13 AM] [Program.initializeStartup] » Map ID [71] its already in the dictionary, maybe some duplicate (?)
/* Start up: 7/22/2018 2:10:58 AM */

[7/22/2018 2:11:00 AM] [Program.initializeStartup] » Map ID [46] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 2:11:00 AM] [Program.initializeStartup] » Map ID [22] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 2:11:00 AM] [Program.initializeStartup] » Map ID [80] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 2:11:00 AM] [Program.initializeStartup] » Map ID [89] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 2:11:00 AM] [Program.initializeStartup] » Map ID [27] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 2:11:00 AM] [Program.initializeStartup] » Map ID [44] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 2:11:00 AM] [Program.initializeStartup] » Map ID [71] its already in the dictionary, maybe some duplicate (?)
/* Start up: 7/22/2018 2:13:34 AM */

[7/22/2018 2:13:36 AM] [Program.initializeStartup] » Map ID [46] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 2:13:36 AM] [Program.initializeStartup] » Map ID [22] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 2:13:36 AM] [Program.initializeStartup] » Map ID [80] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 2:13:36 AM] [Program.initializeStartup] » Map ID [89] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 2:13:36 AM] [Program.initializeStartup] » Map ID [27] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 2:13:36 AM] [Program.initializeStartup] » Map ID [44] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 2:13:36 AM] [Program.initializeStartup] » Map ID [71] its already in the dictionary, maybe some duplicate (?)
/* Start up: 7/22/2018 2:23:06 AM */

[7/22/2018 2:23:09 AM] [Program.initializeStartup] » Map ID [46] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 2:23:09 AM] [Program.initializeStartup] » Map ID [22] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 2:23:09 AM] [Program.initializeStartup] » Map ID [80] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 2:23:09 AM] [Program.initializeStartup] » Map ID [89] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 2:23:09 AM] [Program.initializeStartup] » Map ID [27] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 2:23:09 AM] [Program.initializeStartup] » Map ID [44] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 2:23:09 AM] [Program.initializeStartup] » Map ID [71] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 2:23:24 AM] [User.ReceiveData] » [DEBUG] MrSnap No TCP Client - kick out
/* Start up: 7/22/2018 3:03:20 AM */

[7/22/2018 3:03:22 AM] [Program.initializeStartup] » Map ID [46] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 3:03:22 AM] [Program.initializeStartup] » Map ID [22] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 3:03:22 AM] [Program.initializeStartup] » Map ID [80] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 3:03:22 AM] [Program.initializeStartup] » Map ID [89] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 3:03:22 AM] [Program.initializeStartup] » Map ID [27] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 3:03:22 AM] [Program.initializeStartup] » Map ID [44] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 3:03:22 AM] [Program.initializeStartup] » Map ID [71] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 3:06:30 AM] [User.ReceiveData] » [DEV]Star tried to delete DF56 but he haven't it!
/* Start up: 7/22/2018 3:25:22 AM */

[7/22/2018 3:25:25 AM] [Program.initializeStartup] » Map ID [46] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 3:25:25 AM] [Program.initializeStartup] » Map ID [22] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 3:25:25 AM] [Program.initializeStartup] » Map ID [80] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 3:25:25 AM] [Program.initializeStartup] » Map ID [89] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 3:25:25 AM] [Program.initializeStartup] » Map ID [27] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 3:25:25 AM] [Program.initializeStartup] » Map ID [44] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 3:25:25 AM] [Program.initializeStartup] » Map ID [71] its already in the dictionary, maybe some duplicate (?)
/* Start up: 7/22/2018 3:36:07 AM */

[7/22/2018 3:36:09 AM] [Program.initializeStartup] » Map ID [46] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 3:36:09 AM] [Program.initializeStartup] » Map ID [22] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 3:36:09 AM] [Program.initializeStartup] » Map ID [80] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 3:36:09 AM] [Program.initializeStartup] » Map ID [89] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 3:36:09 AM] [Program.initializeStartup] » Map ID [27] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 3:36:09 AM] [Program.initializeStartup] » Map ID [44] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 3:36:09 AM] [Program.initializeStartup] » Map ID [71] its already in the dictionary, maybe some duplicate (?)
/* Start up: 7/22/2018 3:45:51 AM */

[7/22/2018 3:45:53 AM] [Program.initializeStartup] » Map ID [46] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 3:45:53 AM] [Program.initializeStartup] » Map ID [22] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 3:45:53 AM] [Program.initializeStartup] » Map ID [80] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 3:45:53 AM] [Program.initializeStartup] » Map ID [89] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 3:45:53 AM] [Program.initializeStartup] » Map ID [27] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 3:45:53 AM] [Program.initializeStartup] » Map ID [44] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 3:45:53 AM] [Program.initializeStartup] » Map ID [71] its already in the dictionary, maybe some duplicate (?)
/* Start up: 7/22/2018 3:59:14 AM */

[7/22/2018 3:59:16 AM] [Program.initializeStartup] » Map ID [46] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 3:59:16 AM] [Program.initializeStartup] » Map ID [22] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 3:59:16 AM] [Program.initializeStartup] » Map ID [80] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 3:59:16 AM] [Program.initializeStartup] » Map ID [89] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 3:59:16 AM] [Program.initializeStartup] » Map ID [27] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 3:59:16 AM] [Program.initializeStartup] » Map ID [44] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 3:59:16 AM] [Program.initializeStartup] » Map ID [71] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 3:59:30 AM] [ExecutionContext.RunInternal] » [DEBUG] [DEV]Star has been kicked out from the server because hasn't a tcp connection
[7/22/2018 3:59:31 AM] [User.ReceiveData] » [DEBUG] Maurice320x No TCP Client - kick out
[7/22/2018 3:59:49 AM] [ExecutionContext.RunInternal] » [DEBUG] [DEV]Star has been kicked out from the server because hasn't a tcp connection
[7/22/2018 3:59:50 AM] [ExecutionContext.RunInternal] » [DEBUG] Maurice320x has been kicked out from the server because hasn't a tcp connection
/* Start up: 7/22/2018 4:02:38 AM */

[7/22/2018 4:02:40 AM] [Program.initializeStartup] » Map ID [46] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 4:02:40 AM] [Program.initializeStartup] » Map ID [22] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 4:02:40 AM] [Program.initializeStartup] » Map ID [80] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 4:02:40 AM] [Program.initializeStartup] » Map ID [89] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 4:02:40 AM] [Program.initializeStartup] » Map ID [27] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 4:02:40 AM] [Program.initializeStartup] » Map ID [44] its already in the dictionary, maybe some duplicate (?)
